ds,yhat,Commodity,Market
2025-06-20,152.59657397185197,Beans ,Gikomba
2025-06-23,152.2303557833016,Beans ,Gikomba
2025-06-24,151.74916312393265,Beans ,Gikomba
2025-06-27,150.7851774195843,Beans ,Gikomba
2025-06-30,150.10245871879488,Beans ,Gikomba
2025-07-01,149.63431494152664,Beans ,Gikomba
2025-07-02,149.3460896529292,Beans ,Gikomba
2025-07-03,149.26388931480835,Beans ,Gikomba
2025-07-04,149.02546216686915,Beans ,Gikomba
2025-07-08,148.8034030596608,Beans ,Gikomba
2025-07-09,148.76136483979053,Beans ,Gikomba
2025-07-10,148.90860973734829,Beans ,Gikomba
2025-07-11,148.87215124322077,Beans ,Gikomba
2025-07-14,149.214558839786,Beans ,Gikomba
2025-07-15,149.00414090145222,Beans ,Gikomba
2025-07-16,148.90541453689573,Beans ,Gikomba
2025-07-17,148.93166323205872,Beans ,Gikomba
2025-07-18,148.7104171809074,Beans ,Gikomba
2025-07-21,148.15275661067759,Beans ,Gikomba
2025-07-22,147.54938875104395,Beans ,Gikomba
2025-07-23,147.02676047348135,Beans ,Gikomba
2025-07-24,146.60954736565117,Beans ,Gikomba
2025-07-25,145.93762221638485,Beans ,Gikomba
2025-07-26,144.88567824054869,Beans ,Gikomba
2025-07-27,120.70757280884804,Beans ,Gikomba
2025-07-28,144.1145964540049,Beans ,Gikomba
2025-07-29,143.16113154779518,Beans ,Gikomba
2025-07-30,142.34403601091026,Beans ,Gikomba
2025-07-31,141.69811573595376,Beans ,Gikomba
2025-08-01,140.87175474783493,Beans ,Gikomba
2025-08-02,139.74626702657037,Beans ,Gikomba
2025-08-03,115.58002229276147,Beans ,Gikomba
2025-08-04,139.08655731571255,Beans ,Gikomba
2025-08-05,138.32014215348016,Beans ,Gikomba
2025-08-06,137.77513977909922,Beans ,Gikomba
2025-08-07,137.48152384306798,Beans ,Gikomba
2025-08-08,137.08062260937905,Beans ,Gikomba
2025-08-09,136.44464996432566,Beans ,Gikomba
2025-08-10,112.8210708260876,Beans ,Gikomba
2025-08-11,136.9110057309249,Beans ,Gikomba
2025-08-12,136.75513561290276,Beans ,Gikomba
2025-08-13,136.83343547204134,Beans ,Gikomba
2025-08-14,137.1610908428139,Beans ,Gikomba
2025-08-15,137.3646535034472,Beans ,Gikomba
2025-08-16,137.3019853080817,Beans ,Gikomba
2025-08-17,114.20702539504359,Beans ,Gikomba
2025-08-18,138.7685737650435,Beans ,Gikomba
2025-08-19,139.01654111138163,Beans ,Gikomba
2025-08-20,139.4219834421619,Beans ,Gikomba
2025-08-21,139.9932665285132,Beans ,Gikomba
2021-11-15,105.33881940731786,Wheat,Kagio
2021-11-22,109.84625878520033,Wheat,Kagio
2021-11-25,103.64075088662513,Wheat,Kagio
2021-12-02,97.58526965483986,Wheat,Kagio
2021-12-06,99.95241993151996,Wheat,Kagio
2021-12-09,93.69787642582068,Wheat,Kagio
2021-12-13,100.63161580100487,Wheat,Kagio
2021-12-16,97.70759197788136,Wheat,Kagio
2021-12-20,106.99190264305047,Wheat,Kagio
2021-12-23,103.40405135199492,Wheat,Kagio
2021-12-27,108.48479089595227,Wheat,Kagio
2021-12-30,100.03523292828764,Wheat,Kagio
2022-01-06,86.10684525051744,Wheat,Kagio
2022-01-10,82.76626918472326,Wheat,Kagio
2022-01-20,70.0774971076631,Wheat,Kagio
2022-01-24,80.25762299346118,Wheat,Kagio
2022-01-31,93.25180215469427,Wheat,Kagio
2022-02-03,92.90816104808104,Wheat,Kagio
2022-02-17,79.44578559906951,Wheat,Kagio
2022-02-21,83.73242913658545,Wheat,Kagio
2022-02-24,77.4170979313815,Wheat,Kagio
2022-02-28,82.14651807607996,Wheat,Kagio
2022-03-03,76.43175744154951,Wheat,Kagio
2022-03-14,82.15441054607118,Wheat,Kagio
2022-03-17,76.93017234281427,Wheat,Kagio
2022-03-21,82.89842618577181,Wheat,Kagio
2022-03-24,77.90114985002546,Wheat,Kagio
2022-03-28,83.95854152940036,Wheat,Kagio
2022-03-31,78.7075018072481,Wheat,Kagio
2022-04-04,83.95832139866329,Wheat,Kagio
2022-04-07,77.95232805342067,Wheat,Kagio
2022-04-14,77.01833939078415,Wheat,Kagio
2022-04-21,81.26110057204812,Wheat,Kagio
2022-05-23,91.38615347085019,Wheat,Kagio
2022-06-16,89.32099307315099,Wheat,Kagio
2022-06-23,95.62165128702549,Wheat,Kagio
2022-06-30,111.771047094448,Wheat,Kagio
2022-07-04,113.18661686751929,Wheat,Kagio
2022-07-14,131.1081470845252,Wheat,Kagio
2022-07-25,112.22295295234316,Wheat,Kagio
